,id,name,parameter,displayName,unit,city,lastUpdated,firstUpdated,latitude,longitude,modelName,manufacturerName,max,mean,quant_97.5,quant_02.5,quant_25,quant_75,min
120,1105255,BBCan_Lethbridge_out_04C,pm25,PM2.5,µg/m³,None,2023-10-11T22:12:14+00:00,2023-06-19T16:29:18+00:00,49.67158,-112.787445,PurpleAir Sensor,PurpleAir,160.0,17.424240382269215,88.0,0.11,4.5,22.0,0.0
121,1106548,CEAEQ-eca5,pm25,PM2.5,µg/m³,None,2023-12-04T17:54:03+00:00,2023-06-19T23:21:56+00:00,45.603367,-73.65068,PurpleAir Sensor,PurpleAir,310.0,15.741142303552206,151.99999999999818,0.017,1.8,15.0,0.0
122,1106549,Cap-aux-Meules,pm25,PM2.5,µg/m³,None,2023-12-12T06:20:12+00:00,2023-06-19T23:22:41+00:00,47.372818,-61.868423,PurpleAir Sensor,PurpleAir,320.0,51.16858974358974,251.25,5.55,7.9,22.0,3.9
123,1106550,CEAEQ-3711,pm25,PM2.5,µg/m³,None,2023-07-03T15:34:23+00:00,2023-06-19T23:21:58+00:00,45.60568,-73.65433,PurpleAir Sensor,PurpleAir,310.0,41.89507692307692,238.99999999999977,4.22,9.0,48.0,2.5
124,1106552,CEAEQ-2d61,pm25,PM2.5,µg/m³,None,2023-09-21T18:05:37+00:00,2023-06-19T23:19:20+00:00,45.60718,-73.65596,PurpleAir Sensor,PurpleAir,320.0,35.9192,235.24999999999977,5.0475,11.0,38.0,2.8
125,1106553,CEAEQ-5b15,pm25,PM2.5,µg/m³,None,2023-06-22T20:35:31+00:00,2023-06-19T23:23:07+00:00,45.61003,-73.6584,PurpleAir Sensor,PurpleAir,20.0,9.760606060606062,19.375,5.0125,6.7,11.0,4.1
126,1106554,Gaspé,pm25,PM2.5,µg/m³,None,2023-10-27T17:25:59+00:00,2023-06-19T23:22:49+00:00,48.837044,-64.494965,PurpleAir Sensor,PurpleAir,320.0,12.39976,56.0,0.0036,1.6,10.0,0.0
127,1106556,CEAEQ-094,pm25,PM2.5,µg/m³,None,2023-07-10T20:47:02+00:00,2023-06-19T23:24:33+00:00,45.60865,-73.65671,PurpleAir Sensor,PurpleAir,310.0,35.217871485943775,230.0,5.0,10.25,38.0,2.5
128,1106557,CEAEQ-e029,pm25,PM2.5,µg/m³,None,2023-07-03T15:32:57+00:00,2023-06-19T23:24:59+00:00,45.611683,-73.65922,PurpleAir Sensor,PurpleAir,310.0,41.771692307692305,238.99999999999977,4.22,8.8,48.0,2.4
129,1106560,CEAEQ-f264,pm25,PM2.5,µg/m³,None,2023-07-10T20:45:47+00:00,2023-06-19T23:23:04+00:00,45.609283,-73.65808,PurpleAir Sensor,PurpleAir,310.0,34.507630522088355,230.0,4.8425,10.0,37.0,2.4
130,1107255,ACA-Spruce Grove Aspenglen,pm25,PM2.5,µg/m³,None,2024-02-07T14:10:48+00:00,2023-06-20T02:53:07+00:00,53.55923,-113.91254,PurpleAir Sensor,PurpleAir,240.0,30.64363741610738,170.0,0.0,4.2,40.0,0.0
